iter	Passed	Remaining
0	180	35944
1	240	23831
2	289	18990
3	321	15770
4	376	14699
5	415	13440
6	449	12404
7	502	12069
8	537	11401
9	570	10833
10	606	10418
11	632	9915
12	669	9627
13	698	9281
14	732	9032
15	760	8749
16	796	8569
17	826	8361
18	863	8227
19	892	8031
20	925	7891
21	952	7710
22	981	7551
23	1019	7478
24	1043	7301
25	1076	7206
26	1113	7133
27	1150	7067
28	1183	6977
29	1230	6974
30	1282	6989
31	1314	6902
32	1352	6846
33	1388	6777
34	1422	6706
35	1454	6627
36	1489	6561
37	1523	6495
38	1556	6423
39	1608	6435
40	1636	6347
41	1670	6285
42	1704	6223
43	1741	6174
44	1767	6087
45	1800	6026
46	1826	5944
47	1856	5880
48	1891	5827
49	1919	5757
50	1952	5703
51	1988	5658
52	2018	5598
53	2051	5547
54	2081	5487
55	2108	5420
56	2145	5383
57	2181	5339
58	2215	5294
59	2245	5238
60	2280	5197
61	2308	5137
62	2341	5091
63	2369	5034
64	2398	4981
65	2440	4954
66	2498	4960
67	2538	4927
68	2567	4875
69	2611	4849
70	2647	4810
71	2681	4767
72	2715	4724
73	2755	4691
74	2799	4665
75	2858	4664
76	2905	4641
77	2951	4616
78	2988	4576
79	3013	4520
80	3054	4488
81	3081	4434
82	3112	4387
83	3143	4341
84	3171	4290
85	3214	4260
86	3247	4218
87	3278	4173
88	3311	4130
89	3341	4084
90	3377	4045
91	3411	4004
92	3444	3963
93	3478	3922
94	3508	3877
95	3537	3832
96	3564	3784
97	3603	3750
98	3628	3701
99	3675	3675
100	3702	3629
101	3743	3596
102	3776	3556
103	3812	3518
104	3842	3476
105	3876	3437
106	3907	3396
107	3940	3356
108	3979	3322
109	4009	3280
110	4042	3241
111	4075	3202
112	4106	3161
113	4143	3125
114	4175	3086
115	4204	3044
116	4241	3008
117	4288	2980
118	4323	2943
119	4357	2905
120	4398	2871
121	4423	2828
122	4458	2791
123	4485	2749
124	4524	2714
125	4552	2673
126	4590	2638
127	4617	2597
128	4648	2558
129	4675	2517
130	4704	2477
131	4737	2440
132	4764	2399
133	4797	2362
134	4822	2321
135	4855	2284
136	4883	2245
137	4920	2210
138	4946	2170
139	4986	2136
140	5017	2099
141	5051	2063
142	5101	2033
143	5136	1997
144	5168	1960
145	5204	1924
146	5240	1889
147	5272	1852
148	5319	1820
149	5353	1784
150	5395	1750
151	5419	1711
152	5462	1678
153	5515	1647
154	5553	1612
155	5595	1578
156	5619	1539
157	5660	1504
158	5686	1466
159	5720	1430
160	5751	1393
161	5793	1358
162	5827	1322
163	5872	1289
164	5921	1256
165	5960	1220
166	5998	1185
167	6034	1149
168	6067	1113
169	6113	1078
170	6148	1042
171	6183	1006
172	6210	969
173	6245	933
174	6271	895
175	6308	860
176	6341	824
177	6379	788
178	6412	752
179	6451	716
180	6476	679
181	6509	643
182	6543	607
183	6579	572
184	6609	535
185	6650	500
186	6681	464
187	6718	428
188	6748	392
189	6787	357
190	6818	321
191	6859	285
192	6882	249
193	6915	213
194	6947	178
195	6982	142
196	7013	106
197	7047	71
198	7080	35
199	7121	0
